1970 Chevrolet Camaro,1970 Chevrolet Chevelle,1970 Chevrolet Nova,1970 Pontiac GTO,1970 Oldsmobile Cutlass
42,48,0,47,34
39,45,0,52,52
59,59,0,65,37
39,48,0,49,51
43,73,0,60,25
74,100,0,68,26
46,44,0,58,40
61,39,0,45,51
46,49,0,70,40
60,72,25,58,33
36,28,0,62,40
38,54,0,73,0
48,48,0,42,24
49,43,0,58,25
50,35,0,61,46
70,50,0,45,44
46,41,0,69,0
42,69,0,69,34
46,54,25,64,26
43,48,0,60,0
32,67,0,42,0
44,53,0,55,33
41,41,0,89,25
44,61,0,39,30
69,45,0,67,39
35,43,0,50,25
30,49,32,29,51
52,50,0,44,27
40,41,24,38,0
48,33,0,74,30
63,45,0,24,28
24,41,0,48,35
32,61,0,69,0
47,45,0,49,0
53,62,29,62,23
25,62,26,43,0
58,71,0,34,0
61,45,0,49,35
38,49,0,46,0
40,52,0,50,45
52,77,0,50,29
53,51,0,67,27
35,38,0,74,29
45,54,0,64,0
50,46,0,45,34
61,52,0,57,32
36,45,0,49,0
34,54,0,36,27
52,40,0,52,0
51,45,0,55,35
35,61,0,75,38
30,44,47,42,23
41,48,16,45,30
38,44,9,41,27
